filename,r2_elv_l_rad,mae_elv_l_rad,mse_elv_l_rad,r2_N1s_rpm,mae_N1s_rpm,mse_N1s_rpm
flight_28936.csv,-0.07973961088468329,0.021475989371538162,0.0007160138920880854,0.8363905822813871,3.2706234455108643,16.35972785949707
flight_33369.csv,-0.7448092837078084,0.009149853140115738,0.00010974977340083569,0.1517443068737392,4.599813461303711,35.110469818115234
flight_39113.csv,0.1887742018530818,0.01398880872875452,0.00030009678448550403,0.653740922668351,4.788987636566162,35.43682861328125
flight_12806.csv,0.6842384138366662,0.0061922636814415455,6.972255505388603e-05,0.8665889010071814,3.207458734512329,14.47653865814209
flight_14365.csv,0.43756922413125754,0.01032268162816763,0.00015555800928268582,0.8035960552291166,3.2299046516418457,16.35281753540039
flight_18525.csv,-1.6372170734964162,0.014397882856428623,0.00024267692060675472,-0.26803968409496015,5.614716053009033,68.51602935791016
flight_40083.csv,0.6870612460631838,0.007987321354448795,9.927870996762067e-05,0.8443306211756874,3.849205732345581,20.836822509765625
flight_14196.csv,0.4137331507549412,0.009688267484307289,0.00014695858408231288,0.3429537702118225,5.2093706130981445,39.86970520019531
flight_15502.csv,-4.544326847888152,0.038218606263399124,0.0015893890522420406,0.841081895969356,4.07412052154541,24.89214515686035
flight_25004.csv,-2.089477811380787,0.026548832654953003,0.0007766974158585072,0.821718840525955,4.097839832305908,27.66625213623047
flight_21884.csv,-130.39159433127205,0.12900181114673615,0.01670260913670063,0.5391197231131001,4.145715236663818,32.829681396484375
flight_40008.csv,-1.417912240004453,0.026693105697631836,0.0008525977609679103,0.6256572782287598,4.675773620605469,31.702974319458008
flight_19223.csv,0.18198330989135303,0.012689233757555485,0.00022937754692975432,0.4692983282342612,6.540450096130371,68.46485900878906
flight_31626.csv,0.42337174952105605,0.013743007555603981,0.0002566149632912129,0.568243207504117,3.228977680206299,13.402501106262207
flight_11823.csv,-5.536372326732167,0.029167035594582558,0.001031535561196506,-0.4144701677109217,7.163743495941162,93.30280303955078
flight_19237.csv,-0.6052388734957062,0.01592530868947506,0.00032542608096264303,0.8308763361238931,3.4854066371917725,20.788421630859375
flight_31089.csv,0.32671063312178006,0.010488352738320827,0.0001620286057004705,0.7684801094285791,4.051162242889404,24.756925582885742
flight_21072.csv,-3.594351992686983,0.03520311042666435,0.0012696844059973955,0.9029124808909408,2.5217041969299316,12.373588562011719
flight_21056.csv,-17.276473702956345,0.04969710111618042,0.002509864280000329,0.6987021037648542,4.391321659088135,29.14571762084961
flight_40945.csv,-42.51776145155894,0.07333927601575851,0.0055478764697909355,-0.6733584535878705,8.373022079467773,114.14594268798828
flight_31632.csv,0.6917957865542412,0.012465402483940125,0.00021220941562205553,0.8134626248982292,2.922889232635498,12.706340789794922
flight_31624.csv,-1.3861556594577253,0.03628389909863472,0.0019086896209046245,0.8097914535579496,2.556710958480835,10.523821830749512
flight_27068.csv,-5.662872318472317,0.035773761570453644,0.001464239088818431,0.8392168546244885,4.760214805603027,31.429370880126953
flight_18297.csv,0.33468217884063833,0.008002933114767075,0.00010377307626185939,-0.6534070237057579,6.837630271911621,68.57421112060547
flight_40113.csv,-0.7166473271825922,0.015835382044315338,0.00040044134948402643,0.7142912097978457,5.207159996032715,33.11870574951172
flight_32637.csv,-5.552741640821605,0.036189284175634384,0.0015050106449052691,0.801668617226798,4.305262565612793,30.655284881591797
flight_14315.csv,-0.8555313459247331,0.03077641688287258,0.001091863727197051,0.4897990606479372,6.7609992027282715,67.1104736328125
flight_18572.csv,0.6389423241227308,0.005313870031386614,6.546168151544407e-05,0.8709836699508553,2.71748685836792,10.016831398010254
flight_24058.csv,-18.48964512665968,0.05015738680958748,0.002570712473243475,0.8919766883596111,3.520310640335083,17.60093879699707
flight_37105.csv,0.3363504959373389,0.008218800649046898,0.0001004296209430322,0.9116663738132339,2.6006710529327393,10.776877403259277
flight_16365.csv,-25.434572757959536,0.0513685941696167,0.002724932972341776,-0.21960800515548828,4.407068729400635,30.511463165283203
flight_15210.csv,0.2436667287714528,0.011251246556639671,0.00016574087203480303,0.8541294014309324,4.057415008544922,24.21537971496582
flight_35322.csv,-1.7146693297480557,0.02101147547364235,0.0005407401476986706,0.09349082420984567,6.819703578948975,76.13994598388672
flight_36981.csv,-3.7614589727565635,0.035556212067604065,0.0013852777192369103,-12.008569291123411,10.398131370544434,142.63328552246094
flight_35058.csv,-2.2016128850166066,0.02314687892794609,0.0006354754441417754,0.8382361288706318,2.749312400817871,20.20830726623535
flight_13485.csv,0.0525276236508877,0.014674022793769836,0.00029383317450992763,0.8146168480599856,4.940352916717529,29.8963623046875
flight_11301.csv,-0.580481258253783,0.017825279384851456,0.00039510565693490207,0.6476637058455675,4.510908126831055,40.819549560546875
flight_37531.csv,-0.45620389721463606,0.021554583683609962,0.000618368445429951,0.49266112689145003,5.57530403137207,56.14775848388672
flight_17701.csv,0.7112622705600676,0.008135364390909672,0.000108323511085473,-0.25797563008525515,5.923562526702881,57.0258674621582
flight_10301.csv,-4.5145568729964545,0.04577610641717911,0.0022883277852088213,0.5632471197362131,3.638721466064453,27.749454498291016
flight_15886.csv,-2.3573472310731773,0.03700238838791847,0.0015224663075059652,0.7548994111446005,4.2100677490234375,22.757143020629883
flight_16546.csv,-0.06327514802767298,0.013573446311056614,0.000268989650066942,0.8383027061066323,3.1109371185302734,20.955673217773438
flight_29452.csv,-0.5924390729065432,0.017606336623430252,0.00043165526585653424,0.6757561851995478,5.628326416015625,45.996578216552734
